Signal Length,Bits Per Pixel,Quantization Step Size,Sparse Representation Size,Wavelet Coefficients Size,Number of Non-Zero Coefficients
9264,0.054540,4059.617676,"1x9351 float","1x9351 float",85
9296,0.051796,4114.484375,"1x9383 float","1x9383 float",81
9328,0.049076,3882.699219,"1x9414 float","1x9414 float",77
9360,0.054621,4106.379883,"1x9447 float","1x9447 float",86
9392,0.051277,4568.290039,"1x9478 float","1x9478 float",81
9424,0.052997,4164.426758,"1x9510 float","1x9510 float",84
9456,0.047794,3928.076904,"1x9541 float","1x9541 float",76
9488,0.052010,4128.339355,"1x9575 float","1x9575 float",83
9520,0.049344,3908.792480,"1x9606 float","1x9606 float",79
9552,0.052293,4245.173340,"1x9638 float","1x9638 float",84
9584,0.049643,3898.724609,"1x9669 float","1x9669 float",80
9616,0.051330,4150.810059,"1x9702 float","1x9702 float",83
9648,0.049317,3894.688477,"1x9733 float","1x9733 float",80
9680,0.050998,4129.594727,"1x9765 float","1x9765 float",83
9712,0.054512,4057.703613,"1x9796 float","1x9796 float",89
9744,0.054928,4446.320801,"1x9831 float","1x9831 float",90
9776,0.051105,4157.314941,"1x9862 float","1x9862 float",84
9808,0.052153,4142.276367,"1x9894 float","1x9894 float",86
9840,0.051990,4158.657715,"1x9925 float","1x9925 float",86
9872,0.050613,4166.331055,"1x9958 float","1x9958 float",84
9904,0.048654,3947.858154,"1x9989 float","1x9989 float",81
9936,0.048498,3945.328125,"1x10021 float","1x10021 float",81
9968,0.050736,4148.092773,"1x10052 float","1x10052 float",85
10000,0.051160,4097.803711,"1x10086 float","1x10086 float",86
10032,0.054562,4055.868164,"1x10117 float","1x10117 float",92
10064,0.049069,3867.043457,"1x10149 float","1x10149 float",83
10096,0.048330,3882.593506,"1x10180 float","1x10180 float",82
10128,0.048761,3975.538574,"1x10213 float","1x10213 float",83
10160,0.050957,4473.240234,"1x10244 float","1x10244 float",87
10192,0.054885,4092.715820,"1x10276 float","1x10276 float",94
10224,0.047152,3906.954590,"1x10307 float","1x10307 float",81
10256,0.054524,4124.228516,"1x10344 float","1x10344 float",94
10288,0.054940,4048.499512,"1x10375 float","1x10375 float",95
10320,0.049582,3951.200439,"1x10407 float","1x10407 float",86
10352,0.054608,4044.738037,"1x10438 float","1x10438 float",95
10384,0.048706,3893.287598,"1x10471 float","1x10471 float",85
10416,0.054275,4048.117188,"1x10502 float","1x10502 float",95
10448,0.052971,4046.251953,"1x10534 float","1x10534 float",93
10480,0.051112,4146.939453,"1x10565 float","1x10565 float",90
10512,0.049250,3891.032959,"1x10599 float","1x10599 float",87
10544,0.053057,4372.867188,"1x10630 float","1x10630 float",94
10576,0.049522,3890.453857,"1x10662 float","1x10662 float",88
10608,0.053306,4056.688965,"1x10693 float","1x10693 float",95
10640,0.049786,3897.702148,"1x10726 float","1x10726 float",89
10672,0.054104,4048.084229,"1x10757 float","1x10757 float",97
10704,0.048939,3960.216309,"1x10789 float","1x10789 float",88
10736,0.052680,4054.975098,"1x10820 float","1x10820 float",95
